Time,Sample,Phase
0, 1.94538e-40, 0.000453515
1, 0.00284951, 0.000907029
2, 0.005699, 0.00136054
3, 0.00854845, 0.00181406
4, 0.0113978, 0.00226757
5, 0.0142471, 0.00272109
6, 0.0170963, 0.0031746
7, 0.0199453, 0.00362812
8, 0.0227942, 0.00408163
9, 0.0256428, 0.00453515
10, 0.0284913, 0.00498866
11, 0.0313396, 0.00544218
12, 0.0341875, 0.00589569
13, 0.0370353, 0.00634921
14, 0.0398827, 0.00680272
15, 0.0427298, 0.00725624
16, 0.0455765, 0.00770975
17, 0.0484229, 0.00816327
18, 0.0512688, 0.00861678
19, 0.0541144, 0.0090703
20, 0.0569595, 0.00952381
21, 0.0598042, 0.00997733
22, 0.0626483, 0.0104308
23, 0.065492, 0.0108844
24, 0.0683351, 0.0113379
25, 0.0711777, 0.0117914
26, 0.0740197, 0.0122449
27, 0.0768611, 0.0126984
28, 0.0797019, 0.0131519
29, 0.082542, 0.0136054
30, 0.0853815, 0.014059
31, 0.0882202, 0.0145125
32, 0.0910583, 0.014966
33, 0.0938956, 0.0154195
34, 0.0967321, 0.015873
35, 0.0995679, 0.0163265
36, 0.102403, 0.0167801
37, 0.105237, 0.0172336
38, 0.10807, 0.0176871
39, 0.110903, 0.0181406
40, 0.113734, 0.0185941
41, 0.116565, 0.0190476
42, 0.119394, 0.0195011
43, 0.122223, 0.0199547
44, 0.125051, 0.0204082
45, 0.127877, 0.0208617
46, 0.130703, 0.0213152
47, 0.133527, 0.0217687
48, 0.136351, 0.0222222
49, 0.139173, 0.0226757
50, 0.141994, 0.0231293
51, 0.144814, 0.0235828
52, 0.147633, 0.0240363
53, 0.150451, 0.0244898
54, 0.153268, 0.0249433
55, 0.156083, 0.0253968
56, 0.158897, 0.0258504
57, 0.161709, 0.0263039
58, 0.164521, 0.0267574
59, 0.167331, 0.0272109
60, 0.170139, 0.0276644
61, 0.172947, 0.0281179
62, 0.175753, 0.0285714
63, 0.178557, 0.029025
64, 0.18136, 0.0294785
65, 0.184161, 0.029932
66, 0.186962, 0.0303855
67, 0.18976, 0.030839
68, 0.192557, 0.0312925
69, 0.195352, 0.031746
70, 0.198146, 0.0321996
71, 0.200938, 0.0326531
72, 0.203729, 0.0331066
73, 0.206518, 0.0335601
74, 0.209305, 0.0340136
75, 0.212091, 0.0344671
76, 0.214874, 0.0349206
77, 0.217657, 0.0353741
78, 0.220437, 0.0358277
79, 0.223215, 0.0362812
80, 0.225992, 0.0367347
81, 0.228767, 0.0371882
82, 0.23154, 0.0376417
83, 0.234311, 0.0380952
84, 0.23708, 0.0385487
85, 0.239848, 0.0390023
86, 0.242613, 0.0394558
87, 0.245376, 0.0399093
88, 0.248138, 0.0403628
89, 0.250897, 0.0408163
90, 0.253654, 0.0412698
91, 0.25641, 0.0417233
92, 0.259163, 0.0421768
93, 0.261914, 0.0426304
94, 0.264663, 0.0430839
95, 0.26741, 0.0435374
96, 0.270154, 0.0439909
97, 0.272897, 0.0444444
98, 0.275637, 0.0448979
99, 0.278375, 0.0453514
100, 0.281111, 0.045805
101, 0.283844, 0.0462585
102, 0.286575, 0.046712
103, 0.289304, 0.0471655
104, 0.292031, 0.047619
105, 0.294755, 0.0480725
106, 0.297477, 0.048526
107, 0.300196, 0.0489795
108, 0.302913, 0.0494331
109, 0.305627, 0.0498866
110, 0.308339, 0.0503401
111, 0.311049, 0.0507936
112, 0.313755, 0.0512471
113, 0.31646, 0.0517006
114, 0.319162, 0.0521541
115, 0.321861, 0.0526076
116, 0.324557, 0.0530612
117, 0.327251, 0.0535147
118, 0.329942, 0.0539682
119, 0.332631, 0.0544217
120, 0.335317, 0.0548752
121, 0.338, 0.0553287
122, 0.340681, 0.0557822
123, 0.343358, 0.0562358
124, 0.346033, 0.0566893
125, 0.348705, 0.0571428
126, 0.351374, 0.0575963
127, 0.354041, 0.0580498
128, 0.356704, 0.0585033
129, 0.359365, 0.0589568
130, 0.362023, 0.0594103
131, 0.364677, 0.0598639
132, 0.367329, 0.0603174
133, 0.369978, 0.0607709
134, 0.372624, 0.0612244
135, 0.375266, 0.0616779
136, 0.377906, 0.0621314
137, 0.380543, 0.0625849
138, 0.383176, 0.0630385
139, 0.385807, 0.063492
140, 0.388434, 0.0639455
141, 0.391058, 0.064399
142, 0.393679, 0.0648525
143, 0.396297, 0.065306
144, 0.398912, 0.0657596
145, 0.401523, 0.0662131
146, 0.404131, 0.0666666
147, 0.406736, 0.0671201
148, 0.409338, 0.0675736
149, 0.411936, 0.0680271
150, 0.414531, 0.0684807
151, 0.417122, 0.0689342
152, 0.41971, 0.0693877
153, 0.422295, 0.0698412
154, 0.424876, 0.0702947
155, 0.427454, 0.0707482
156, 0.430028, 0.0712018
157, 0.432599, 0.0716553
158, 0.435167, 0.0721088
159, 0.43773, 0.0725623
160, 0.440291, 0.0730158
161, 0.442847, 0.0734693
162, 0.4454, 0.0739229
163, 0.44795, 0.0743764
164, 0.450496, 0.0748299
165, 0.453038, 0.0752834
166, 0.455576, 0.0757369
167, 0.458111, 0.0761904
168, 0.460642, 0.076644
169, 0.46317, 0.0770975
170, 0.465693, 0.077551
171, 0.468213, 0.0780045
172, 0.470729, 0.078458
173, 0.473241, 0.0789115
174, 0.475749, 0.0793651
175, 0.478254, 0.0798186
176, 0.480754, 0.0802721
177, 0.483251, 0.0807256
178, 0.485744, 0.0811791
179, 0.488233, 0.0816326
180, 0.490718, 0.0820862
181, 0.493198, 0.0825397
182, 0.495675, 0.0829932
183, 0.498148, 0.0834467
184, 0.500617, 0.0839002
185, 0.503082, 0.0843537
186, 0.505542, 0.0848073
187, 0.507999, 0.0852608
188, 0.510451, 0.0857143
189, 0.512899, 0.0861678
190, 0.515343, 0.0866213
191, 0.517783, 0.0870748
192, 0.520219, 0.0875284
193, 0.52265, 0.0879819
194, 0.525078, 0.0884354
195, 0.527501, 0.0888889
196, 0.529919, 0.0893424
197, 0.532334, 0.0897959
198, 0.534744, 0.0902495
199, 0.53715, 0.090703
200, 0.539551, 0.0911565
201, 0.541948, 0.09161
202, 0.54434, 0.0920635
203, 0.546729, 0.092517
204, 0.549112, 0.0929706
205, 0.551492, 0.0934241
206, 0.553866, 0.0938776
207, 0.556237, 0.0943311
208, 0.558602, 0.0947846
209, 0.560964, 0.0952381
210, 0.56332, 0.0956917
211, 0.565672, 0.0961452
212, 0.56802, 0.0965987
213, 0.570363, 0.0970522
214, 0.572701, 0.0975057
215, 0.575035, 0.0979593
216, 0.577364, 0.0984128
217, 0.579688, 0.0988663
218, 0.582007, 0.0993198
219, 0.584322, 0.0997733
220, 0.586632, 0.100227
221, 0.588938, 0.10068
222, 0.591238, 0.101134
223, 0.593534, 0.101587
224, 0.595825, 0.102041
225, 0.598111, 0.102494
226, 0.600392, 0.102948
227, 0.602669, 0.103401
228, 0.60494, 0.103855
229, 0.607207, 0.104308
230, 0.609468, 0.104762
231, 0.611725, 0.105216
232, 0.613976, 0.105669
233, 0.616223, 0.106123
234, 0.618465, 0.106576
235, 0.620702, 0.10703
236, 0.622933, 0.107483
237, 0.62516, 0.107937
238, 0.627381, 0.10839
239, 0.629598, 0.108844
240, 0.631809, 0.109297
241, 0.634015, 0.109751
242, 0.636216, 0.110204
243, 0.638412, 0.110658
244, 0.640603, 0.111111
245, 0.642788, 0.111565
246, 0.644968, 0.112018
247, 0.647143, 0.112472
248, 0.649313, 0.112925
249, 0.651478, 0.113379
250, 0.653637, 0.113832
251, 0.655791, 0.114286
252, 0.657939, 0.114739
253, 0.660083, 0.115193
254, 0.66222, 0.115646
255, 0.664353, 0.1161
256, 0.66648, 0.116553
257, 0.668602, 0.117007
258, 0.670718, 0.11746
259, 0.672829, 0.117914
260, 0.674934, 0.118368
261, 0.677034, 0.118821
262, 0.679128, 0.119275
263, 0.681217, 0.119728
264, 0.683301, 0.120182
265, 0.685378, 0.120635
266, 0.687451, 0.121089
267, 0.689517, 0.121542
268, 0.691578, 0.121996
269, 0.693634, 0.122449
270, 0.695683, 0.122903
271, 0.697728, 0.123356
272, 0.699766, 0.12381
273, 0.701799, 0.124263
274, 0.703826, 0.124717
275, 0.705847, 0.12517
276, 0.707863, 0.125624
277, 0.709873, 0.126077
278, 0.711877, 0.126531
279, 0.713875, 0.126984
280, 0.715868, 0.127438
281, 0.717854, 0.127891
282, 0.719835, 0.128345
283, 0.72181, 0.128798
284, 0.72378, 0.129252
285, 0.725743, 0.129705
286, 0.7277, 0.130159
287, 0.729652, 0.130612
288, 0.731597, 0.131066
289, 0.733537, 0.131519
290, 0.735471, 0.131973
291, 0.737399, 0.132427
292, 0.73932, 0.13288
293, 0.741236, 0.133334
294, 0.743146, 0.133787
295, 0.745049, 0.134241
296, 0.746947, 0.134694
297, 0.748839, 0.135148
298, 0.750724, 0.135601
299, 0.752604, 0.136055
300, 0.754477, 0.136508
301, 0.756344, 0.136962
302, 0.758205, 0.137415
303, 0.76006, 0.137869
304, 0.761909, 0.138322
305, 0.763751, 0.138776
306, 0.765587, 0.139229
307, 0.767417, 0.139683
308, 0.769241, 0.140136
309, 0.771059, 0.14059
310, 0.77287, 0.141043
311, 0.774675, 0.141497
312, 0.776474, 0.14195
313, 0.778267, 0.142404
314, 0.780053, 0.142857
315, 0.781833, 0.143311
316, 0.783606, 0.143764
317, 0.785373, 0.144218
318, 0.787134, 0.144671
319, 0.788888, 0.145125
320, 0.790636, 0.145579
321, 0.792378, 0.146032
322, 0.794113, 0.146486
323, 0.795841, 0.146939
324, 0.797564, 0.147393
325, 0.799279, 0.147846
326, 0.800988, 0.1483
327, 0.802691, 0.148753
328, 0.804387, 0.149207
329, 0.806077, 0.14966
330, 0.80776, 0.150114
331, 0.809437, 0.150567
332, 0.811107, 0.151021
333, 0.81277, 0.151474
334, 0.814427, 0.151928
335, 0.816077, 0.152381
336, 0.817721, 0.152835
337, 0.819357, 0.153288
338, 0.820988, 0.153742
339, 0.822611, 0.154195
340, 0.824228, 0.154649
341, 0.825838, 0.155102
342, 0.827442, 0.155556
343, 0.829039, 0.156009
344, 0.830629, 0.156463
345, 0.832212, 0.156916
346, 0.833789, 0.15737
347, 0.835359, 0.157823
348, 0.836922, 0.158277
349, 0.838478, 0.158731
350, 0.840027, 0.159184
351, 0.84157, 0.159638
352, 0.843105, 0.160091
353, 0.844634, 0.160545
354, 0.846156, 0.160998
355, 0.847672, 0.161452
356, 0.84918, 0.161905
357, 0.850681, 0.162359
358, 0.852176, 0.162812
359, 0.853663, 0.163266
360, 0.855144, 0.163719
361, 0.856618, 0.164173
362, 0.858084, 0.164626
363, 0.859544, 0.16508
364, 0.860997, 0.165533
365, 0.862443, 0.165987
366, 0.863882, 0.16644
367, 0.865313, 0.166894
368, 0.866738, 0.167347
369, 0.868156, 0.167801
370, 0.869567, 0.168254
371, 0.87097, 0.168708
372, 0.872367, 0.169161
373, 0.873756, 0.169615
374, 0.875138, 0.170068
375, 0.876514, 0.170522
376, 0.877882, 0.170975
377, 0.879243, 0.171429
378, 0.880597, 0.171882
379, 0.881943, 0.172336
380, 0.883283, 0.17279
381, 0.884615, 0.173243
382, 0.885941, 0.173697
383, 0.887259, 0.17415
384, 0.888569, 0.174604
385, 0.889873, 0.175057
386, 0.891169, 0.175511
387, 0.892458, 0.175964
388, 0.89374, 0.176418
389, 0.895015, 0.176871
390, 0.896282, 0.177325
391, 0.897542, 0.177778
392, 0.898795, 0.178232
393, 0.900041, 0.178685
394, 0.901279, 0.179139
395, 0.90251, 0.179592
396, 0.903733, 0.180046
397, 0.90495, 0.180499
398, 0.906158, 0.180953
399, 0.90736, 0.181406
400, 0.908554, 0.18186
401, 0.909741, 0.182313
402, 0.91092, 0.182767
403, 0.912092, 0.18322
404, 0.913257, 0.183674
405, 0.914414, 0.184127
406, 0.915564, 0.184581
407, 0.916706, 0.185034
408, 0.917841, 0.185488
409, 0.918968, 0.185942
410, 0.920088, 0.186395
411, 0.9212, 0.186849
412, 0.922305, 0.187302
413, 0.923403, 0.187756
414, 0.924493, 0.188209
