"Time","Type","Ability","Source → Target",""
"-00:01.296","Cast","Feuga","Fuyurururu Yururururu → Kokytos",""
"00:00.846","Cast","Blitzga 2.08 sec","Fuyurururu Yururururu → Kokytos",""
"00:03.295","Cast","Feuka 2.33 sec","Fuyurururu Yururururu → Kokytos",""
"00:05.748","Cast","Feuka 2.33 sec","Fuyurururu Yururururu → Kokytos",""
"00:06.370","Cast","Tripelzauber","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:06.950","Cast","Feuka","Fuyurururu Yururururu → Kokytos",""
"00:07.530","Cast","Stärkung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:09.047","Cast","Feuka +5% damage","Fuyurururu Yururururu → Kokytos",""
"00:09.625","Cast","Verstärker","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:10.249","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:11.094","Cast","Verzweiflung +5% damage","Fuyurururu Yururururu → Kokytos",""
"00:11.675","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:12.476","Cast","Klartraum","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:13.146","Cast","Paradox +5% damage","Fuyurururu Yururururu → Kokytos",""
"00:13.815","Cast","Spontaneität","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:15.243","Cast","Xenoglossie +10% damage","Fuyurururu Yururururu → Kokytos",""
"00:16.670","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:17.294","Cast","Feuga +16% damage","Fuyurururu Yururururu → Kokytos",""
"00:21.170","Cast","Feuka 2.33 sec+23% damage","Fuyurururu Yururururu → Kokytos",""
"00:23.623","Cast","Feuka 2.33 sec+30% damage","Fuyurururu Yururururu → Kokytos",""
"00:26.076","Cast","Feuka 2.33 sec+30% damage","Fuyurururu Yururururu → Kokytos",""
"00:26.657","Cast","Blitzga +30% damage","Fuyurururu Yururururu → Kokytos",""
"00:27.280","Cast","Tripelzauber","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:29.105","Cast","Verzweiflung +30% damage","Fuyurururu Yururururu → Kokytos",""
"00:29.728","Cast","Mana-Brunnen","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:31.556","Cast","Verzweiflung +30% damage","Fuyurururu Yururururu → Kokytos",""
